ID,system,site,sample,month,year,specie,biomass,length,width,season,class,order,habitat,guild,P,MO,CE,Ph,DAP,HR,Ca,Mg,NA,K,N,ARA,RESP,RM_0-5,RM_5=10
13,N,triangulo,centro,agosto,2008,uropodoidea,"3,692,380,733","8,433,545","6,457,716",I,acari,mesostigmata,epiedaphic,predator,"11,57","2,23","1,8","6,87","1,12","0,18","6,5","1,55",1,"0,97","0,35","12,871","177,723,378","5,7","9,6"
14,N,triangulo,centro,noviembre,2008,gasteropoda,"1,893,883,652","541,241","4,441,786",P,macrofauna,macrofauna,euedaphic,detritivore,"11,78","2,85","1,1","6,9","1,16","0,24","6,05","1,5",1,"1,12","3,034",388,"1,049",10,20
15,N,triangulo,centro,noviembre,2008,isopodos,"2,350,770,337","4,938,864","1,903,197",P,macrofauna,macrofauna,euedaphic,xilophago,"11,78","2,85","1,1","6,9","1,16","0,24","6,05","1,5",1,"1,12","3,034",388,"1,049",10,20
16,N,triangulo,centro,noviembre,2008,oripodoidea,"3,723,689,283","3,896,143","2,399,168",P,acari,oribatida,hemiedaphic,detritivore,"11,78","2,85","1,1","6,9","1,16","0,24","6,05","1,5",1,"1,12","3,034",388,"1,049",10,20
17,N,triangulo,centro,noviembre,2008,oripodoidea,"1,438,554,106","5,926,686","3,877,107",P,acari,oribatida,hemiedaphic,detritivore,"11,78","2,85","1,1","6,9","1,16","0,24","6,05","1,5",1,"1,12","3,034",388,"1,049",10,20
18,N,triangulo,centro,noviembre,2008,uropodoidea,"3,130,233,492","7,957,698","6,129,752",P,acari,mesostigmata,epiedaphic,predator,"11,78","2,85","1,1","6,9","1,16","0,24","6,05","1,5",1,"1,12","3,034",388,"1,049",10,20
19,N,triangulo,centro,mayo,2009,onychiuridae,"629,999,005","4,988,176","1,346,239",O,collembolla,poduromorpha,euedaphic,microphytophages,"12,1","2,52","0,94","7,3","1,17","0,23","6,15","1,6","1,3","1,24","2,606",1,347,"8,25","12,75"
20,N,triangulo,centro,agosto,2009,crotonioidea,"1,274,555,728","2,955,136","1,314,619",I,acari,oribatida,hemiedaphic,microphytophages,"4,91","3,99","0,72","7,77","1,29","0,28","6,19","1,62","1,04","1,084","0,27","177,723,378","0,09",3,4
21,N,triangulo,centro,agosto,2009,lom_juv,642000,,,I,engineer,crassiclitellata,euedaphic,detritivore,"4,91","3,99","0,72","7,77","1,29","0,28","6,19","1,62","1,04","1,084","0,27","177,723,378","0,09",3,4
22,N,triangulo,centro,agosto,2009,lom_juv,642000,,,I,engineer,crassiclitellata,euedaphic,detritivore,"4,91","3,99","0,72","7,77","1,29","0,28","6,19","1,62","1,04","1,084","0,27","177,723,378","0,09",3,4
23,N,triangulo,centro,diciembre,2009,entomobroidea,"2,981,171,856","20,815,351","5,446,282",V,collembolla,entomobryomorpha,epiedaphic,microphytophages,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
24,N,triangulo,centro,diciembre,2009,isoptera,"2,645,170,382","7,831,413","141,675",V,macrofauna,macrofauna,hemiedaphic,xilophago,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
25,N,triangulo,centro,diciembre,2009,rhodacaroidea,"1,265,115,985","6,514,891","3,429,421",V,acari,mesostigmata,euedaphic,predator,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
26,N,triangulo,centro,diciembre,2009,Apo_ros,2345000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
27,N,triangulo,centro,diciembre,2009,Apo_ros,2345000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
28,N,triangulo,centro,diciembre,2009,Apo_ros,2345000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
29,N,triangulo,centro,diciembre,2009,octa_cy,4457000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
30,N,triangulo,centro,diciembre,2009,octa_cy,4457000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
31,N,triangulo,centro,diciembre,2009,octa_cy,4457000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
32,N,triangulo,centro,diciembre,2009,octa_la,5922000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
33,N,triangulo,centro,diciembre,2009,octa_la,5922000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
34,N,triangulo,centro,diciembre,2009,octa_la,5922000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
35,N,triangulo,centro,diciembre,2009,lom_juv,642000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
36,N,triangulo,centro,diciembre,2009,lom_juv,642000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"2,05","5,81","1,75","8,16","1,02","0,26","9,9","1,72","0,08","1,7","177,121","62,319,751","0,09",8,"8,75"
37,N,triangulo,centro,marzo,2010,isotomidae,"145,587,904","2,776,964","767,156",O,collembolla,entomobryomorpha,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
38,N,triangulo,centro,marzo,2010,isotomidae,"143,550,955","2,762,925","877,628",O,collembolla,entomobryomorpha,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
39,N,triangulo,centro,marzo,2010,isotomidae,"101,878,544","2,442,303","526,387",O,collembolla,entomobryomorpha,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
40,N,triangulo,centro,marzo,2010,isotomidae,"295,720,847","3,583,225","525,586",O,collembolla,entomobryomorpha,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
41,N,triangulo,centro,marzo,2010,isotomidae,"3,485,544,391","8,702,934","1,219,244",O,collembolla,entomobryomorpha,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
42,N,triangulo,centro,marzo,2010,isotomidae,"1,045,980,882","5,644,523","1,114,508",O,collembolla,entomobryomorpha,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
43,N,triangulo,centro,marzo,2010,rhodacaroidea,"789,343,629","2,723,439","110,49",O,acari,mesostigmata,euedaphic,predator,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
44,N,triangulo,centro,marzo,2010,rhodacaroidea,"634,112,117","2,447,463","1,110,606",O,acari,mesostigmata,euedaphic,predator,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
45,N,triangulo,centro,marzo,2010,rhodacaroidea,"1,135,690,869","3,018,827","1,318,688",O,acari,mesostigmata,euedaphic,predator,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
46,N,triangulo,centro,marzo,2010,eupodoidea,"18,918,921","2,013,266","846,841",O,acari,trombidiformes,hemiedaphic,predator,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
47,N,triangulo,centro,marzo,2010,rhodacaroidea,"4,531,302,763","471,599","2,257,064",O,acari,mesostigmata,euedaphic,predator,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
48,N,triangulo,centro,marzo,2010,oripodoidea,"6,785,138,186","4,728,361","294,378",O,acari,oribatida,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
49,N,triangulo,centro,marzo,2010,oripodoidea,"1,058,491,437","5,281,188","3,558,666",O,acari,oribatida,hemiedaphic,detritivore,"1,12","5,36","1,06","6,64","0,91","0,22",10,"2,1",1,"1,6",396,"478,022,056","0,08","6,5",8
50,N,triangulo,centro,junio,2010,galumnioidea,"7,636,768,537","9,930,969","7,751,661",I,acari,oribatida,hemiedaphic,microphytophages,"2,15","6,25","0,4","7,69","1,24","0,34","8,8","1,55","1,23","1,7","3,831","0,15","103,888,889",0,"3,5"
51,N,triangulo,centro,junio,2010,hypogastruridae,"322,773,167","647,638","2,102,653",I,collembolla,poduromorpha,hemiedaphic,omnivore,"2,15","6,25","0,4","7,69","1,24","0,34","8,8","1,55","1,23","1,7","3,831","0,15","103,888,889",0,"3,5"
52,N,triangulo,centro,junio,2010,hypogastruridae,"2,594,760,628","5,945,054","143,188",I,collembolla,poduromorpha,hemiedaphic,omnivore,"2,15","6,25","0,4","7,69","1,24","0,34","8,8","1,55","1,23","1,7","3,831","0,15","103,888,889",0,"3,5"
53,N,triangulo,centro,junio,2010,hypogastruridae,"2,732,271,257","6,066,672","1,703,758",I,collembolla,poduromorpha,hemiedaphic,omnivore,"2,15","6,25","0,4","7,69","1,24","0,34","8,8","1,55","1,23","1,7","3,831","0,15","103,888,889",0,"3,5"
54,N,triangulo,centro,junio,2010,hypogastruridae,"1,602,744,701","492,157","1,861,883",I,collembolla,poduromorpha,hemiedaphic,omnivore,"2,15","6,25","0,4","7,69","1,24","0,34","8,8","1,55","1,23","1,7","3,831","0,15","103,888,889",0,"3,5"
55,N,triangulo,centro,junio,2010,hypogastruridae,"572,452,131","3,286,703","1,133,673",I,collembolla,poduromorpha,hemiedaphic,omnivore,"2,15","6,25","0,4","7,69","1,24","0,34","8,8","1,55","1,23","1,7","3,831","0,15","103,888,889",0,"3,5"
56,N,triangulo,centro,junio,2010,oripodoidea,"2,585,688,224","3,405,363","2,160,626",I,acari,oribatida,hemiedaphic,detritivore,"2,15","6,25","0,4","7,69","1,24","0,34","8,8","1,55","1,23","1,7","3,831","0,15","103,888,889",0,"3,5"
57,N,triangulo,centro,septiembre,2010,epilohmannioidea,"3,331,138,976","5,061,516","1,806,558",P,acari,oribatida,hemiedaphic,detritivore,"3,5","5,56","0,26","7,68","1,14","0,33",8,"1,55","1,44","1,1","2,662",194,33,"5,5","9,5"
58,N,triangulo,centro,septiembre,2010,crotonioidea,"536,922,839","2,104,107","1,093,597",P,acari,oribatida,hemiedaphic,microphytophages,"3,5","5,56","0,26","7,68","1,14","0,33",8,"1,55","1,44","1,1","2,662",194,33,"5,5","9,5"
59,N,triangulo,centro,septiembre,2010,hypogastruridae,"1,965,996,481","5,332,062","2,338,832",P,collembolla,poduromorpha,hemiedaphic,omnivore,"3,5","5,56","0,26","7,68","1,14","0,33",8,"1,55","1,44","1,1","2,662",194,33,"5,5","9,5"
60,N,triangulo,centro,septiembre,2010,hypogastruridae,"1,184,341,241","10,782,911","3,001,846",P,collembolla,poduromorpha,hemiedaphic,omnivore,"3,5","5,56","0,26","7,68","1,14","0,33",8,"1,55","1,44","1,1","2,662",194,33,"5,5","9,5"
61,N,triangulo,centro,septiembre,2010,hypogastruridae,"1,316,611,489","11,240,036","2,762,293",P,collembolla,poduromorpha,hemiedaphic,omnivore,"3,5","5,56","0,26","7,68","1,14","0,33",8,"1,55","1,44","1,1","2,662",194,33,"5,5","9,5"
62,N,triangulo,centro,diciembre,2010,entomobroidea,"4,880,439,069","10,150,969","2,605,091",V,collembolla,entomobryomorpha,epiedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
63,N,triangulo,centro,diciembre,2010,isotomidae,"1,698,736,134","6,720,219","1,035,694",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
64,N,triangulo,centro,diciembre,2010,isotomidae,"2,440,874,096","7,656,127","1,864,289",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
65,N,triangulo,centro,diciembre,2010,isotomidae,"2,121,119,737","7,279,035","1,374,737",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
66,N,triangulo,centro,diciembre,2010,isotomidae,"1,025,715,362","5,604,938","1,066,779",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
67,N,triangulo,centro,diciembre,2010,isotomidae,"1,004,016,464","5,561,994","1,198,708",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
68,N,triangulo,centro,diciembre,2010,isotomidae,"593,732,621","4,604,285","1,138,216",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
69,N,triangulo,centro,diciembre,2010,isotomidae,"897,265,024","5,341,575","1,144,989",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
70,N,triangulo,centro,diciembre,2010,isotomidae,"1,236,486,828","599,468","132,876",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
71,N,triangulo,centro,diciembre,2010,isotomidae,"4,335,201,409","9,413,353","2,034,375",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
72,N,triangulo,centro,diciembre,2010,isotomidae,"1,044,233,368","5,641,129","1,357,504",V,collembolla,entomobryomorpha,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
73,N,triangulo,centro,diciembre,2010,oripodoidea,"202,941,504","1,744,949","760,605",V,acari,oribatida,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
74,N,triangulo,centro,diciembre,2010,oripodoidea,"193,016,672","1,619,039","800,279",V,acari,oribatida,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
75,N,triangulo,centro,diciembre,2010,oripodoidea,"295,298,685","1,868,081","918,847",V,acari,oribatida,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
76,N,triangulo,centro,diciembre,2010,onychiuridae,"86,872,898","2,426,883","386,717",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
77,N,triangulo,centro,diciembre,2010,onychiuridae,"39,145,463","4,195,592","876,107",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
78,N,triangulo,centro,diciembre,2010,onychiuridae,"92,719,818","2,485,052","373,262",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
79,N,triangulo,centro,diciembre,2010,onychiuridae,"56,233,206","2,071,863","362,452",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
80,N,triangulo,centro,diciembre,2010,onychiuridae,"138,841,328","2,878,046","561,318",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
81,N,triangulo,centro,diciembre,2010,onychiuridae,"130,700,129","2,815,496","627,955",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
82,N,triangulo,centro,diciembre,2010,onychiuridae,"73,577,534","2,284,633","395,702",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
83,N,triangulo,centro,diciembre,2010,onychiuridae,"18,446,278","1,381,435","214,512",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
84,N,triangulo,centro,diciembre,2010,onychiuridae,"70,547,693","2,249,964","328,646",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
85,N,triangulo,centro,diciembre,2010,onychiuridae,"562,952,861","4,788,193","1,073,173",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
86,N,triangulo,centro,diciembre,2010,onychiuridae,"39,479,801","1,821,797","38,589",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
87,N,triangulo,centro,diciembre,2010,onychiuridae,"151,006,631","2,967,305","694,881",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
88,N,triangulo,centro,diciembre,2010,onychiuridae,"40,114,906","183,24","323,748",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
89,N,triangulo,centro,diciembre,2010,onychiuridae,"29,322,639","163,504","295,901",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
90,N,triangulo,centro,diciembre,2010,onychiuridae,"116,307,786","269,855","405,277",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
91,N,triangulo,centro,diciembre,2010,onychiuridae,"80,656,624","2,362,238","395,702",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
92,N,triangulo,centro,diciembre,2010,onychiuridae,"72,034,346","2,267,091","394,894",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
93,N,triangulo,centro,diciembre,2010,onychiuridae,"53,359,833","2,032,722","414,631",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
94,N,triangulo,centro,diciembre,2010,onychiuridae,"100,044,487","2,554,718","337,284",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
95,N,triangulo,centro,diciembre,2010,onychiuridae,"107,299,668","2,620,592","407,636",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
96,N,triangulo,centro,diciembre,2010,onychiuridae,"86,473,427","2,422,819","414,631",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
97,N,triangulo,centro,diciembre,2010,onychiuridae,"66,225,112","2,198,822","35,752",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
98,N,triangulo,centro,diciembre,2010,onychiuridae,"43,536,577","1,887,761","319,776",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
99,N,triangulo,centro,diciembre,2010,onychiuridae,"41,838,796","1,860,652","343,852",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
100,N,triangulo,centro,diciembre,2010,onychiuridae,"37,842,842","1,793,958","312,703",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
101,N,triangulo,centro,diciembre,2010,onychiuridae,"73,335,032","2,281,892","442,228",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
102,N,triangulo,centro,diciembre,2010,onychiuridae,"7,163,312","2,262,491","430,511",V,collembolla,poduromorpha,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
103,N,triangulo,centro,diciembre,2010,oripodoidea,"4,575,139,211","4,069,627","2,642,695",V,acari,oribatida,hemiedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
104,N,triangulo,centro,diciembre,2010,oppioidea,"51,922,317","2,297,648","1,082,172",V,acari,oribatida,euedaphic,microphytophages,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
105,N,triangulo,centro,diciembre,2010,bdelloidea,"992,035,349","3,497,664","1,730,577",V,acari,trombidiformes,euedaphic,predator,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
106,N,triangulo,centro,diciembre,2010,bdelloidea,"517,109,749","2,814,902","1,299,003",V,acari,trombidiformes,euedaphic,predator,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
107,N,triangulo,centro,diciembre,2010,Apo_ros,2345000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"7,82","4,61","0,39","7,1","1,23","0,14","7,5","1,53","0,9","1,6","3,476","0,08","39,942,857",24,0
